company_name,rating,reviews,jobs,interviews,highly_rated_for,critically_rated_for
Jubilant Foods Works,3.8,2.7k,38,153,Skill Development / Learning,"Promotions / Appraisal, Work Life Balance, Work Satisfaction"
Reliance Digital,4.2,2.7k,--,106,"Skill Development / Learning, Job Security, Company Culture",
Glenmark Pharmaceuticals,4.0,2.7k,90,126,Skill Development / Learning,Promotions / Appraisal
Aarti Industries,4.2,2.6k,26,273,"Job Security, Work Life Balance, Skill Development / Learning",
Synechron,3.6,2.6k,99,326,Salary & Benefits,"Job Security, Promotions / Appraisal"
24/7 Customer,3.5,2.6k,35,173,,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
Birlasoft,3.7,2.6k,462,273,,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
MRF Tyres,3.7,2.6k,14,280,Job Security,"Company Culture, Work Satisfaction, Work Life Balance"
Paras Hospital,4.5,2.6k,24,74,"Skill Development / Learning, Work Life Balance, Company Culture",
Hindustan Coca Cola Beverages,4.2,2.6k,29,118,"Salary & Benefits, Skill Development / Learning, Job Security",
Honda Motorcycle & Scooter,4.1,2.6k,--,147,"Job Security, Work Life Balance, Company Culture",
Kotak Mahindara Life Insurance,3.8,2.6k,85,207,Job Security,Promotions / Appraisal
PNB MetLife,3.4,2.6k,294,141,,"Job Security, Work Satisfaction, Promotions / Appraisal"
DTDC Express,3.8,2.6k,24,131,,"Promotions / Appraisal, Salary & Benefits"
JK Cement,4.1,2.6k,--,230,"Salary & Benefits, Job Security, Company Culture",
UnitedHealth,4.1,2.6k,--,81,"Job Security, Work Life Balance, Company Culture",Promotions / Appraisal
Reliance Nippon Life Insurance,3.7,2.6k,--,120,,"Promotions / Appraisal, Job Security, Work Satisfaction"
Ceat Tyres,4.0,2.5k,15,149,"Job Security, Company Culture, Skill Development / Learning",Promotions / Appraisal
ABB Group,4.1,2.5k,--,213,"Job Security, Work Life Balance, Company Culture",
HARMAN,3.8,2.5k,234,241,Work Life Balance,Promotions / Appraisal
Dabur,3.8,2.5k,29,203,,Promotions / Appraisal
NatWest Group,4.0,2.5k,--,190,"Work Life Balance, Job Security, Company Culture",Promotions / Appraisal
GeBBS Healthcare Solutions,3.7,2.5k,25,134,Job Security,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
KPIT Technologies,3.5,2.5k,9,265,,"Promotions / Appraisal, Work Satisfaction, Job Security"
Conduent,3.5,2.5k,88,178,,"Promotions / Appraisal, Salary & Benefits, Skill Development / Learning"
InterGlobe Aviation,3.6,2.5k,40,354,,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
IGT Solutions,3.3,2.5k,84,196,,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
CMS IT Services,3.1,2.5k,--,115,,"Promotions / Appraisal, Salary & Benefits, Company Culture"
RSPL Group,4.2,2.4k,19,180,"Job Security, Skill Development / Learning, Work Life Balance",
Sahrudaya Healthcare (Medicover Hospitals),4.7,2.4k,42,119,"Skill Development / Learning, Company Culture, Job Security",
State Street Corporation,3.8,2.4k,18,211,Job Security,Promotions / Appraisal
TVS Credit,4.4,2.4k,26,94,"Company Culture, Job Security, Skill Development / Learning",
Aditya Birla Sun Life Insurance,4.1,2.4k,--,122,"Company Culture, Job Security, Work Life Balance",
Alstom Transportation,3.8,2.4k,71,224,Job Security,Promotions / Appraisal
Reliance SMSL,4.0,2.4k,--,145,"Skill Development / Learning, Work Life Balance, Salary & Benefits",Promotions / Appraisal
ACC,3.9,2.4k,9,176,,Promotions / Appraisal
ArcelorMittal Nippon Steel,4.1,2.4k,11,201,"Job Security, Skill Development / Learning, Work Life Balance",
Tata AIG,4.1,2.4k,130,143,"Job Security, Company Culture, Skill Development / Learning",Promotions / Appraisal
IDFC FIRST Bharat,4.5,2.4k,--,103,"Salary & Benefits, Job Security, Company Culture",
PepsiCo,4.1,2.4k,312,182,"Company Culture, Work Life Balance, Salary & Benefits",
UPL,4.2,2.4k,45,161,"Job Security, Skill Development / Learning, Work Life Balance",
Titan Company,4.4,2.4k,45,136,"Company Culture, Job Security, Skill Development / Learning",
S&P Global,4.2,2.4k,12,251,"Company Culture, Work Life Balance, Job Security",
Shoppers Stop,4.1,2.3k,--,101,"Job Security, Company Culture, Skill Development / Learning",
Torrent Pharmaceuticals,3.9,2.3k,29,117,"Job Security, Work Life Balance, Company Culture","Promotions / Appraisal, Salary & Benefits"
Kyndryl,4.0,2.3k,35,140,"Work Life Balance, Skill Development / Learning, Company Culture",Promotions / Appraisal
Tata Technologies,3.7,2.3k,82,238,"Job Security, Work Life Balance","Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
Zensar Technologies,3.7,2.3k,306,240,Work Life Balance,Promotions / Appraisal
Grasim Industries,4.0,2.3k,2,184,"Job Security, Skill Development / Learning, Work Life Balance",
Mankind Pharma,4.0,2.3k,25,181,Salary & Benefits,
Tata Capital,4.1,2.3k,740,124,"Job Security, Company Culture, Skill Development / Learning",
Afcons Infrastructure,4.3,2.3k,--,192,"Job Security, Skill Development / Learning, Company Culture",
Motilal Oswal Financial Services,3.8,2.3k,55,193,Skill Development / Learning,
Dilip Buildcon,4.0,2.3k,--,136,"Skill Development / Learning, Work Satisfaction",
Flex,4.1,2.3k,73,166,"Company Culture, Work Life Balance, Skill Development / Learning",Promotions / Appraisal
Walmart,3.9,2.3k,271,375,"Job Security, Salary & Benefits, Company Culture",Promotions / Appraisal
UNO Minda,4.0,2.3k,22,148,"Job Security, Skill Development / Learning, Company Culture",
Bajaj Allianz General Insurance,3.9,2.3k,305,81,"Skill Development / Learning, Salary & Benefits",
Statestreet HCL Services,3.3,2.3k,--,205,,"Promotions / Appraisal, Salary & Benefits, Company Culture"
GATI-KWE,4.0,2.2k,--,84,"Skill Development / Learning, Job Security",Promotions / Appraisal
Tech Mahindra Business Services,3.4,2.2k,--,262,,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
Croma,4.0,2.2k,25,114,"Job Security, Skill Development / Learning, Work Life Balance",Promotions / Appraisal
Capita,3.6,2.2k,--,139,,"Promotions / Appraisal, Salary & Benefits, Skill Development / Learning"
ElasticRun,3.5,2.2k,7,238,,"Job Security, Promotions / Appraisal, Work Satisfaction"
I Process Services,3.9,2.2k,--,87,"Company Culture, Work Life Balance","Promotions / Appraisal, Salary & Benefits"
HDFC Sales,4.0,2.2k,--,161,"Skill Development / Learning, Company Culture, Work Life Balance",Promotions / Appraisal
Nokia,4.2,2.2k,162,259,"Work Life Balance, Company Culture, Work Satisfaction",
Societe Generale Global Solution Centre,3.9,2.2k,40,239,"Job Security, Work Life Balance, Company Culture",Promotions / Appraisal
